"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 00:00","2022","08","01","00:00","20.7","","20.7","","100","","","","14","","5","","32.2","","101.05","","29","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 01:00","2022","08","01","01:00","19.6","","18.8","","95","","","","14","","10","","32.2","","101.09","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 02:00","2022","08","01","02:00","18.5","","17.3","","93","","","","10","","14","","32.2","","101.11","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 03:00","2022","08","01","03:00","17.4","","16.0","","91","","","","10","","19","","32.2","","101.10","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 04:00","2022","08","01","04:00","16.8","","16.2","","96","","","","10","","17","","32.2","","101.13","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 05:00","2022","08","01","05:00","17.1","","16.7","","98","","","","10","","17","","32.2","","101.18","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 06:00","2022","08","01","06:00","17.7","","16.6","","94","","","","9","","17","","32.2","","101.22","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 07:00","2022","08","01","07:00","17.8","","17.4","","97","","","","9","","13","","32.2","","101.26","","","","","","Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 08:00","2022","08","01","08:00","18.7","","17.2","","91","","","","11","","12","","48.3","","101.28","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 09:00","2022","08","01","09:00","19.3","","17.5","","89","","","","12","","11","","48.3","","101.32","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 10:00","2022","08","01","10:00","21.8","","18.9","","83","","","","22","","7","","48.3","","101.32","","28","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 11:00","2022","08","01","11:00","22.5","","19.0","","80","","","","22","","11","","48.3","","101.33","","29","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 12:00","2022","08","01","12:00","22.6","","19.3","","82","","","","26","","11","","48.3","","101.31","","30","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 13:00","2022","08","01","13:00","23.2","","19.8","","81","","","","24","","17","","48.3","","101.30","","31","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 14:00","2022","08","01","14:00","23.9","","18.2","","70","","","","23","","16","","48.3","","101.26","","30","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 15:00","2022","08","01","15:00","23.3","","19.1","","77","","","","24","","16","","48.3","","101.23","","30","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 16:00","2022","08","01","16:00","23.2","","19.9","","81","","","","24","","14","","48.3","","101.22","","31","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 17:00","2022","08","01","17:00","23.2","","18.7","","75","","","","24","","11","","48.3","","101.18","","30","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 18:00","2022","08","01","18:00","22.8","","19.1","","79","","","","26","","12","","48.3","","101.14","","30","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 19:00","2022","08","01","19:00","21.9","","18.8","","82","","","","27","","8","","48.3","","101.13","","29","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 20:00","2022","08","01","20:00","21.0","","17.8","","81","","","","26","","6","","48.3","","101.14","","27","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 21:00","2022","08","01","21:00","21.0","","17.2","","79","","","","19","","7","","24.1","","101.19","","26","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 22:00","2022","08","01","22:00","20.7","","17.1","","79","","","","17","","4","","24.1","","101.26","","26","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-01 23:00","2022","08","01","23:00","19.5","","17.6","","89","","","","14","","10","","24.1","","101.27","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 00:00","2022","08","02","00:00","20.1","","17.4","","84","","","","29","","25","","24.1","","101.31","","26","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 01:00","2022","08","02","01:00","19.1","","16.3","","83","","","","29","","26","","24.1","","101.34","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 02:00","2022","08","02","02:00","18.9","","15.7","","82","","","","29","","21","","24.1","","101.38","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 03:00","2022","08","02","03:00","18.3","","15.2","","82","","","","28","","21","","24.1","","101.44","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 04:00","2022","08","02","04:00","17.8","","15.4","","86","","","","29","","20","","24.1","","101.47","","","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 05:00","2022","08","02","05:00","17.6","","15.3","","87","","","","28","","15","","24.1","","101.51","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 06:00","2022","08","02","06:00","17.8","","14.9","","83","","","","28","","18","","32.2","","101.57","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 07:00","2022","08","02","07:00","18.1","","15.7","","86","","","","30","","11","","32.2","","101.63","","","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 08:00","2022","08","02","08:00","18.7","","14.6","","76","","","","27","","14","","32.2","","101.71","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 09:00","2022","08","02","09:00","19.4","","14.5","","73","","","","30","","8","","32.2","","101.75","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 10:00","2022","08","02","10:00","20.1","","14.9","","72","","","","22","","10","","32.2","","101.76","","","","","","Mostly Cloudy"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 11:00","2022","08","02","11:00","20.5","","15.3","","72","","","","22","","14","","32.2","","101.75","","25","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 12:00","2022","08","02","12:00","20.4","","15.8","","75","","","","22","","14","","32.2","","101.73","","25","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 13:00","2022","08","02","13:00","20.7","","15.5","","72","","","","22","","14","","32.2","","101.71","","25","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 14:00","2022","08","02","14:00","21.4","","16.1","","71","","","","20","","19","","32.2","","101.66","","26","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 15:00","2022","08","02","15:00","22.1","","15.8","","67","","","","21","","18","","32.2","","101.62","","27","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 16:00","2022","08","02","16:00","22.0","","15.3","","65","","","","20","","19","","32.2","","101.56","","26","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 17:00","2022","08","02","17:00","21.8","","15.3","","66","","","","21","","16","","32.2","","101.52","","26","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 18:00","2022","08","02","18:00","21.4","","14.1","","63","","","","21","","14","","40.2","","101.48","","25","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 19:00","2022","08","02","19:00","20.7","","14.2","","66","","","","17","","9","","48.3","","101.46","","","","","","Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 20:00","2022","08","02","20:00","19.7","","14.0","","69","","","","13","","10","","48.3","","101.44","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 21:00","2022","08","02","21:00","18.4","","14.4","","77","","","","12","","13","","24.1","","101.44","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 22:00","2022","08","02","22:00","17.6","","15.2","","86","","","","10","","14","","24.1","","101.43","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-02 23:00","2022","08","02","23:00","17.3","","15.1","","86","","","","8","","13","","24.1","","101.41","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-03 00:00","2022","08","03","00:00","17.1","","14.7","","86","","","","9","","16","","24.1","","101.40","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-03 01:00","2022","08","03","01:00","17.6","","14.7","","83","","","","9","","16","","24.1","","101.38","","","","","","Mainly Clear"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-03 02:00","2022","08","03","02:00","16.3","","14.8","","91","","","","11","","17","","24.1","","101.39","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-03 03:00","2022","08","03","03:00","16.0","","14.0","","88","","","","9","","18","","24.1","","101.38","","","","","","NA"
"-123.18","49.19","VANCOUVER INTL A","1108395","2022-08-03 04:00","2022","08","03","04:00","15.4","","13.9","","91","","","","9","","19","","24.1","","101.34","","","","","","Clear"
